iter	Passed	Remaining
398	185905	140244
399	186334	139751
400	186688	139201
401	187151	138734
402	187517	138195
403	187976	137725
404	188504	137305
405	188923	136806
406	189443	136380
407	189907	135913
408	190415	135479
409	190878	135011
410	191246	134477
411	191736	134029
412	192082	133481
413	192530	133004
414	192910	132480
415	193331	131985
416	193877	131576
417	194339	131109
418	194704	130577
419	195029	130019
420	195549	129592
421	196151	129218
422	196541	128704
423	197054	128271
424	197409	127735
425	197854	127258
426	198354	126816
427	198760	126315
428	199336	125921
429	199611	125337
430	200195	124948
431	200606	124450
432	200936	123903
433	201286	123369
434	201678	122861
435	202008	122317
436	202459	121846
437	202865	121348
438	203239	120832
439	203680	120356
440	204001	119810
441	204461	119346
442	204882	118859
443	205334	118391
444	205710	117879
445	206283	117479
446	206631	116952
447	207168	116532
448	207563	116032
449	208024	115569
450	208557	115146
451	209018	114682
452	209672	114324
453	210143	113866
454	210725	113467
455	211165	112992
456	211738	112587
457	212132	112087
458	212645	111650
459	212967	111113
460	213434	110652
461	213823	110151
462	214352	109722
463	214829	109266
464	215228	108771
465	215673	108299
466	216046	107791
467	216421	107285
468	216772	106768
469	217319	106347
470	217846	105916
471	218294	105447
472	218810	105010
473	219360	104589
474	219786	104109
475	220353	103695
476	220757	103205
477	221164	102716
478	221611	102246
479	222176	101830
480	222593	101347
481	223028	100871
482	223410	100372
483	223848	99899
484	224339	99449
485	224707	98945
486	225298	98538
487	225868	98123
488	226293	97644
489	226724	97167
490	227117	96675
491	227479	96170
492	227835	95663
493	228370	95231
494	228774	94744
495	229122	94235
496	229613	93785
497	230030	93305
498	230530	92859
499	231058	92423
500	231400	91913
501	231850	91446
502	232312	90985
503	232685	90488
504	233249	90066
505	233681	89593
506	234203	89154
507	234711	88709
508	235144	88236
509	235494	87733
510	235914	87255
511	236463	86826
512	237011	86395
513	237472	85933
514	237829	85433
515	238233	84951
516	238595	84454
517	238957	83957
518	239379	83482
519	239779	83000
520	240277	82552
521	240762	82099
522	241208	81632
523	241615	81153
524	242009	80669
525	242465	80207
526	242899	79737
527	243356	79275
528	243836	78820
529	244145	78310
530	244462	77804
531	244920	77343
532	245422	76896
533	245816	76414
534	246310	75964
535	246746	75497
536	247262	75053
537	247744	74599
538	248265	74157
539	248676	73681
540	249130	73219
541	249594	72760
542	250047	72297
543	250486	71830
544	250992	71383
545	251508	70938
546	252002	70487
547	252437	70019
548	252738	69514
549	253238	69064
550	253768	68623
551	254217	68159
552	254741	67716
553	255258	67270
554	255754	66818
555	256157	66342
556	256517	65856
557	257051	65414
558	257381	64920
559	257993	64498
560	258408	64026
561	258771	63541
562	259148	63060
563	259667	62614
564	260043	62134
565	260492	61671
566	260934	61206
567	261241	60711
568	261792	60272
569	262338	59831
570	262681	59344
571	263153	58887
572	263573	58418
573	264080	57968
574	264369	57471
575	264798	57005
576	265249	56543
577	265618	56064
578	266110	55612
579	266541	55146
580	266995	54685
581	267365	54208
582	267861	53756
583	268291	53290
584	268760	52833
585	269158	52361
586	269638	51906
587	270095	51446
588	270608	50997
589	271071	50538
590	271486	50071
591	272011	49623
592	272514	49172
593	272969	48711
594	273411	48249
595	273848	47785
596	274299	47324
597	274807	46873
598	275235	46408
599	275683	45947
600	276289	45511
601	276633	45033
602	277057	44568
603	277497	44105
604	278058	43662
605	278484	43197
606	278936	42736
607	279464	42287
608	279961	41833
609	280332	41360
610	280814	40904
611	281272	40444
612	281711	39981
613	282047	39505
614	282511	39046
615	283069	38600
616	283480	38134
617	283951	37676
618	284416	37217
619	284862	36756
620	285405	36307
621	285876	35849
622	286465	35405
623	287023	34957
624	287439	34492
625	287870	34029
626	288382	33575
627	288847	33116
628	289450	32672
629	289849	32205
630	290242	31738
631	290844	31293
632	291227	30825
633	291774	30374
634	292141	29904
635	292635	29447
636	293080	28985
637	293618	28533
638	293967	28062
639	294421	27601
640	294955	27148
641	295485	26694
642	295883	26229
643	296301	25765
644	296781	25306
645	297249	24847
646	297818	24396
647	298363	23942
648	298923	23490
649	299309	23023
650	299789	22564
651	300155	22097
652	300758	21647
653	301157	21182
654	301698	20727
655	302185	20268
656	302546	19801
657	302978	19339
658	303517	18883
659	303990	18423
660	304554	17969
661	304946	17504
662	305318	17038
663	305602	16568
664	306221	16116
665	306736	15659
666	307131	15195
667	307625	14736
668	307994	14271
669	308456	13811
670	308980	13353
671	309424	12892
672	309989	12436
673	310381	11973
674	310778	11510
675	311314	11052
676	311884	10595
677	312429	10137
678	312890	9677
679	313377	9216
680	313861	8756
681	314314	8295
682	314886	7837
683	315375	7377
684	315767	6914
685	316126	6451
686	316565	5990
687	317166	5531
688	317572	5070
689	317988	4608
690	318338	4146
691	318896	3686
692	319347	3225
693	319796	2764
694	320278	2304
695	320643	1842
696	320932	1381
697	321262	920
698	321740	460
699	322328	0
